,TagName,Tag,AcceptanceCriteria,SenographeEssential_1.2.840.10008.5.1.4.1.1.1.2,SenographeEssential_1.2.840.10008.5.1.4.1.1.13.1.3,VolumePreview_1.2.840.10008.5.1.4.1.1.13.1.3,SenographeEssential_1.2.840.10008.5.1.4.1.1.1.2-Rule,SenographeEssential_1.2.840.10008.5.1.4.1.1.13.1.3-Rule,VolumePreview_1.2.840.10008.5.1.4.1.1.13.1.3-Rule
0,ImageType,"[""0008"",""0008""]",GE-10,"['ORIGINAL', 'PRIMARY', '']","['DERIVED', 'PRIMARY', 'VOLUME', 'NONE']|['ORIGINAL', 'PRIMARY', 'VOLUME', 'NONE']|['DERIVED', 'PRIMARY', 'TOMOSYNTHESIS', 'GENERATED_2D']","['DERIVED', 'PRIMARY', 'TOMOSYNTHESIS', 'GENERATED_2D']",EQUAL,IN,EQUAL
1,EstimatedRadiographicMagnificationFactor,"[""0018"",""1114""]",GE-20,1,1,1,NOT_DIFF,NOT_DIFF,NOT_DIFF
2,PhotometricInterpretation,"[""0028"",""0004""]",GE-30,MONOCHROME2,MONOCHROME2,MONOCHROME2,EQUAL,EQUAL,EQUAL
3,BitsAllocated,"[""0028"",""0100""]",GE-40,16,16,16,EQUAL,EQUAL,EQUAL
4,BitsStored,"[""0028"",""0101""]",GE-50,12,12,12,EQUAL,EQUAL,EQUAL
5,HighBit,"[""0028"",""0102""]",GE-60,11,11,11,EQUAL,EQUAL,EQUAL
6,VolumetricProperties,"[""0008"",""9206""]",GE-70,N/A,,VOLUME,N/A,N/A,EQUAL
8,VOILUTFunction,"[""0028"",""1056""]",GE-90,SIGMOID,SIGMOID,SIGMOID,EQUAL,EQUAL,EQUAL
9,Grid,"[""0018"",""1166""]",GE-110,"['RECIPROCATING', 'FOCUSED']","['RECIPROCATING', 'FOCUSED']","['RECIPROCATING', 'FOCUSED']",EQUAL,EQUAL,EQUAL
10,FocalSpots,"[""0018"", ""1190""]",GE-120,0.3,0.3,0.3,NOT_DIFF,NOT_DIFF,NOT_DIFF
11,ExposureStatus,"[""0018"",""7064""]",GE-130,NORMAL,NORMAL,NORMAL,NOT_DIFF,NOT_DIFF,NOT_DIFF
12,Rows,"[""0028"",""0010""]",GE-140,"[1750,5000]",2971|2227|3062,2971|2227|3062,RANGE,IN,IN
13,Columns,"[""0028"",""0011""]",GE-150,"[1750,5000]","[1750,5000]",2394,RANGE,RANGE,EQUAL
14,PixelIntensityRelationship,"[""0028"", ""1040""]",GE-180,LOG,LOG,LOG,EQUAL,EQUAL,EQUAL
15,PixelIntensityRelationshipSign,"[""0028"",""1041""]",GE-190,-1,-1,-1,EQUAL,EQUAL,EQUAL
16,PresentationLUTShape,"[""2050"",""0020""]",GE-200,IDENTITY,IDENTITY,IDENTITY,EQUAL,EQUAL,EQUAL
